PassengerId,Survived,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Embarked_C,Embarked_Q,Embarked_S,Age_scaled,Fare_scaled,split
22,1,"Beesley, Mr. Lawrence",34.0,0,0,248698,13.0,D56,False,True,False,True,False,False,False,True,False,False,False,False,True,0.36757102662486957,-0.3866707201133388,train
23,1,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,8.0292,Missing,True,False,False,False,True,False,True,False,False,False,False,True,False,-1.061327440073581,-0.4867562231804066,train
24,1,"Sloper, Mr. William Thompson",28.0,0,0,113788,35.5,A6,False,True,True,False,False,False,False,True,False,False,False,False,True,-0.08366006812200955,0.06635974158478332,test
25,0,"Palsson, Miss. Torborg Danira",8.0,3,1,349909,21.075,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-1.5877637172782733,-0.22408312108167944,train
26,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,347077,31.3875,Missing,True,False,False,False,True,False,False,False,True,False,False,False,True,0.6683917564561223,-0.016444159470040135,train
27,0,"Emir, Mr. Farred Chehab",25.0,0,0,2631,7.225,Missing,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.3092756154954491,-0.5029485386158568,train
28,0,"Fortune, Mr. Charles Alexander",19.0,3,2,19950,263.0,C23 C25 C27,False,True,True,False,False,False,False,True,False,False,False,False,True,-0.7605067102423282,4.647001076532463,test
29,1,"O'Dwyer, Miss. Ellen ""Nellie""",21.5,0,0,330959,7.8792,Missing,True,False,False,False,True,False,True,False,False,False,False,True,False,-0.5724937540977952,-0.48977642625839407,train
30,0,"Todoroff, Mr. Lalio",25.0,0,0,349216,7.8958,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4894421904510968,test
31,0,"Uruchurtu, Don. Manuel E",40.0,0,0,PC 17601,27.7208,Missing,False,True,True,False,False,False,False,False,False,True,True,False,False,0.8188021213717487,-0.09027201697708476,train
32,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",35.0,1,0,PC 17569,146.5208,B78,True,False,True,False,False,False,False,False,True,False,True,False,False,0.4427762090826827,2.301728820789,train
33,1,"Glynn, Miss. Mary Agatha",21.5,0,0,335677,7.75,Missing,True,False,False,False,True,False,True,False,False,False,False,True,False,-0.5724937540977952,-0.49237782784290063,train
34,0,"Wheadon, Mr. Edward H",66.0,0,0,C.A. 24579,10.5,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,2.7741368652748912,-0.43700743807979686,train
35,0,"Meyer, Mr. Edgar Joseph",28.0,1,0,PC 17604,82.1708,Missing,False,True,True,False,False,False,False,True,False,False,True,False,False,-0.08366006812200955,1.0060617003323709,train
36,0,"Holverson, Mr. Alexander Oskar",42.0,1,0,113789,52.0,Missing,False,True,True,False,False,False,False,True,False,False,False,False,True,0.969212486287375,0.39858208016340624,train
37,1,"Mamee, Mr. Hanna",25.0,0,0,2677,7.2292,Missing,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.3092756154954491,-0.5028639729296732,train
38,0,"Cann, Mr. Ernest Charles",21.0,0,0,A./5. 2152,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.6100963453267019,-0.4863374216869257,train
39,0,"Vander Planke, Miss. Augusta Maria",18.0,2,0,345764,18.0,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-0.8357118927001413,-0.2859972841804228,test
40,1,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,11.2417,Missing,True,False,False,False,True,False,True,False,False,False,True,False,False,-1.136532622531394,-0.42207354059350805,test
41,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,7546,9.475,Missing,True,False,False,False,True,False,False,False,True,False,False,False,True,0.8188021213717487,-0.4576454924460446,test
42,0,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,11668,21.0,Missing,True,False,False,True,False,False,False,False,True,False,False,False,True,-0.15886525057982273,-0.22559322262067316,train
43,0,"Kraeff, Mr. Theodor",25.0,0,0,349253,7.8958,Missing,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.3092756154954491,-0.4894421904510968,train
44,1,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,SC/Paris 2123,41.5792,Missing,True,False,False,True,False,False,True,False,False,False,True,False,False,-1.9637896295673392,0.18876253192945994,train
45,1,"Devaney, Miss. Margaret Delia",19.0,0,0,330958,7.8792,Missing,True,False,False,False,True,False,True,False,False,False,False,True,False,-0.7605067102423282,-0.48977642625839407,train
46,0,"Rogers, Mr. William John",25.0,0,0,S.C./A.4. 23567,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4863374216869257,train
47,0,"Lennon, Mr. Denis",25.0,1,0,370371,15.5,Missing,False,True,False,False,True,False,False,True,False,False,False,True,False,-0.3092756154954491,-0.3363340021468808,train
48,1,"O'Driscoll, Miss. Bridget",21.5,0,0,14311,7.75,Missing,True,False,False,False,True,False,True,False,False,False,False,True,False,-0.5724937540977952,-0.49237782784290063,train
49,0,"Samaan, Mr. Youssef",25.0,2,0,2662,21.6792,Missing,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.3092756154954491,-0.21191774308354583,train
50,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,349237,17.8,Missing,True,False,False,False,True,False,False,False,True,False,False,False,True,-0.8357118927001413,-0.29002422161773944,train
51,0,"Panula, Master. Juha Niilo",7.0,4,1,3101295,39.6875,Missing,False,True,False,False,True,True,False,False,False,False,False,False,True,-1.6629688997360863,0.1506737441786005,train
52,0,"Nosworthy, Mr. Richard Cater",21.0,0,0,A/4. 39886,7.8,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.6100963453267019,-0.4913710934835715,train
53,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,1,0,PC 17572,76.7292,D33,True,False,True,False,False,False,False,False,True,False,True,False,False,1.4956487634920672,0.8964967865378598,train
54,1,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,2926,26.0,Missing,True,False,False,True,False,False,False,False,True,False,False,False,True,-0.008454885664196365,-0.12491978668775715,train
55,0,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,113509,61.9792,B30,False,True,True,False,False,False,False,True,False,False,True,False,False,2.6989316828170784,0.5995101505357573,train
56,1,"Woolner, Mr. Hugh",40.0,0,0,19947,35.5,C52,False,True,True,False,False,False,False,True,False,False,False,False,True,0.8188021213717487,0.06635974158478332,test
57,1,"Rugg, Miss. Emily",21.0,0,0,C.A. 31026,10.5,Missing,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.6100963453267019,-0.43700743807979686,train
58,0,"Novel, Mr. Mansouer",28.5,0,0,2697,7.2292,Missing,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.04605747689310296,-0.5028639729296732,train
59,1,"West, Miss. Constance Mirium",5.0,1,2,C.A. 34651,27.75,Missing,True,False,False,True,False,False,True,False,False,False,False,False,True,-1.8133792646517128,-0.08968408411123653,train
60,0,"Goodwin, Master. William Frederick",11.0,5,2,CA 2144,46.9,Missing,False,True,False,False,True,True,False,False,False,False,False,False,True,-1.3621481699048337,0.2958951755118318,train
61,0,"Sirayanian, Mr. Orsen",22.0,0,0,2669,7.2292,Missing,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.5348911628688886,-0.5028639729296732,train
62,1,"Icard, Miss. Amelie",38.0,0,0,113572,80.0,B28,True,False,True,False,False,False,True,False,False,False,False,False,True,0.6683917564561223,0.962353321387736,train
63,0,"Harris, Mr. Henry Birkhardt",45.0,1,0,36973,83.475,C83,False,True,True,False,False,False,False,True,False,False,False,False,True,1.1948280336608146,1.0323213593611125,test
64,0,"Skoog, Master. Harald",4.0,3,2,347088,27.9,Missing,False,True,False,False,True,True,False,False,False,False,False,False,True,-1.8885844471095259,-0.08666388103324908,train
65,0,"Stewart, Mr. Albert A",40.0,0,0,PC 17605,27.7208,Missing,False,True,True,False,False,False,False,True,False,False,True,False,False,0.8188021213717487,-0.09027201697708476,train
66,1,"Moubarek, Master. Gerios",25.0,1,1,2661,15.2458,Missing,False,True,False,False,True,True,False,False,False,False,True,False,False,-0.3092756154954491,-0.3414522396297103,test
67,1,"Nye, Mrs. (Elizabeth Ramell)",29.0,0,0,C.A. 29395,10.5,F33,True,False,False,True,False,False,False,False,True,False,False,False,True,-0.008454885664196365,-0.43700743807979686,train
68,0,"Crease, Mr. Ernest James",19.0,0,0,S.P. 3464,8.1583,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.7605067102423282,-0.4841568350646187,train
69,1,"Andersson, Miss. Erna Alexandra",17.0,4,2,3101281,7.925,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-0.9109170751579546,-0.4888542575852486,train
70,0,"Kink, Mr. Vincenz",26.0,2,0,315151,8.6625,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.23407043303763592,-0.47400492578514347,train
71,0,"Jenkin, Mr. Stephen Curnow",32.0,0,0,C.A. 33111,10.5,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,0.2171606617092432,-0.43700743807979686,train
72,0,"Goodwin, Miss. Lillian Amy",16.0,5,2,CA 2144,46.9,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-0.9861222576157678,0.2958951755118318,test
73,0,"Hood, Mr. Ambrose Jr",21.0,0,0,S.O.C. 14879,73.5,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,-0.6100963453267019,0.8314778546749452,train
74,0,"Chronopoulos, Mr. Apostolos",26.0,1,0,2680,14.4542,Missing,False,True,False,False,True,False,False,True,False,False,True,False,False,-0.23407043303763592,-0.3573908580066095,train
75,1,"Bing, Mr. Lee",32.0,0,0,1601,56.4958,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,0.2171606617092432,0.48910360681684706,train
76,0,"Moen, Mr. Sigurd Hansen",25.0,0,0,348123,7.65,F G73,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.494391296561559,test
77,0,"Staneff, Mr. Ivan",25.0,0,0,349208,7.8958,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4894421904510968,train
78,0,"Moutal, Mr. Rahamin Haim",25.0,0,0,374746,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4863374216869257,train
79,1,"Caldwell, Master. Alden Gates",0.83,0,2,248738,29.0,Missing,False,True,False,True,False,True,False,False,False,False,False,False,True,-2.126984875500794,-0.06451572512800753,train
80,1,"Dowdell, Miss. Elizabeth",30.0,0,0,364516,12.475,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,0.06675029679361683,-0.397241430886295,train
81,0,"Waelens, Mr. Achille",22.0,0,0,345767,9.0,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.5348911628688886,-0.46720946885967163,train
82,1,"Sheerlinck, Mr. Jan Baptist",29.0,0,0,345779,9.5,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.008454885664196365,-0.45714212526638004,train
83,1,"McDermott, Miss. Brigdet Delia",21.5,0,0,330932,7.7875,Missing,True,False,False,False,True,False,True,False,False,False,False,True,False,-0.5724937540977952,-0.49162277707340374,test
84,0,"Carrau, Mr. Francisco M",28.0,0,0,113059,47.1,Missing,False,True,True,False,False,False,False,True,False,False,False,False,True,-0.08366006812200955,0.29992211294914856,train
85,1,"Ilett, Miss. Bertha",17.0,0,0,SO/C 14885,10.5,Missing,True,False,False,True,False,False,True,False,False,False,False,False,True,-0.9109170751579546,-0.43700743807979686,test
86,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3,0,3101278,15.85,Missing,True,False,False,False,True,False,False,False,True,False,False,False,True,0.29236584416705635,-0.32928686163157667,train
87,0,"Ford, Mr. William Neal",16.0,1,3,W./C. 6608,34.375,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.9861222576157678,0.04370821849987721,train
88,0,"Slocovski, Mr. Selman Francis",25.0,0,0,SOTON/OQ 392086,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4863374216869257,test
89,1,"Fortune, Miss. Mabel Helen",23.0,3,2,19950,263.0,C23 C25 C27,True,False,True,False,False,False,True,False,False,False,False,False,True,-0.45968598041107545,4.647001076532463,test
90,0,"Celotti, Mr. Francesco",24.0,0,0,343275,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3844807979532623,-0.4863374216869257,train
91,0,"Christmann, Mr. Emil",29.0,0,0,343276,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.008454885664196365,-0.4863374216869257,train
92,0,"Andreasson, Mr. Paul Edvin",20.0,0,0,347466,7.8542,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.685301527784515,-0.4902797934380587,test
93,0,"Chaffee, Mr. Herbert Fuller",46.0,1,0,W.E.P. 5734,61.175,E31,False,True,True,False,False,False,False,True,False,False,False,False,True,1.2700332161186279,0.5833178351003071,test
94,0,"Dean, Mr. Bertram Frank",26.0,1,2,C.A. 2315,20.575,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.23407043303763592,-0.23415046467497105,train
95,0,"Coxon, Mr. Daniel",59.0,0,0,364500,7.25,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,2.2477005880701992,-0.5024451714361923,train
96,0,"Shorney, Mr. Charles Joseph",25.0,0,0,374910,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4863374216869257,train
97,0,"Goldschmidt, Mr. George B",71.0,0,0,PC 17754,34.6542,A5,False,True,True,False,False,False,False,True,False,False,True,False,False,3.1501627775639576,0.0493298231623713,train
98,1,"Greenfield, Mr. William Bertram",23.0,0,1,PC 17759,63.3583,D10 D12,False,True,True,False,False,False,False,True,False,False,True,False,False,-0.45968598041107545,0.6272778976347743,train
99,1,"Doling, Mrs. John T (Ada Julia Bone)",34.0,0,1,231919,23.0,Missing,True,False,False,True,False,False,False,False,True,False,False,False,True,0.36757102662486957,-0.18532384824750675,train
100,0,"Kantor, Mr. Sinai",34.0,1,0,244367,26.0,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,0.36757102662486957,-0.12491978668775715,test
101,0,"Petranec, Miss. Matilda",28.0,0,0,349245,7.8958,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-0.08366006812200955,-0.4894421904510968,train
102,0,"Petroff, Mr. Pastcho (""Pentcho"")",25.0,0,0,349215,7.8958,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4894421904510968,train
103,0,"White, Mr. Richard Frasar",21.0,0,1,35281,77.2875,D26,False,True,True,False,False,False,False,True,False,False,False,False,True,-0.6100963453267019,0.907737982394129,train
104,0,"Johansson, Mr. Gustaf Joel",33.0,0,0,7540,8.6542,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,0.29236584416705635,-0.4741720436887921,train
105,0,"Gustafsson, Mr. Anders Vilhelm",37.0,2,0,3101276,7.925,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,0.5931865739983091,-0.4888542575852486,train
106,0,"Mionoff, Mr. Stoytcho",28.0,0,0,349207,7.8958,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.08366006812200955,-0.4894421904510968,test
107,1,"Salkjelsvik, Miss. Anna Kristine",21.0,0,0,343120,7.65,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-0.6100963453267019,-0.494391296561559,test
108,1,"Moss, Mr. Albert Johan",25.0,0,0,312991,7.775,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4918744606632361,train
109,0,"Rekic, Mr. Tido",38.0,0,0,349249,7.8958,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,0.6683917564561223,-0.4894421904510968,train
110,1,"Moran, Miss. Bertha",21.5,1,0,371110,24.15,Missing,True,False,False,False,True,False,True,False,False,False,False,True,False,-0.5724937540977952,-0.1621689579829361,train
111,0,"Porter, Mr. Walter Chamberlain",47.0,0,0,110465,52.0,C110,False,True,True,False,False,False,False,True,False,False,False,False,True,1.345238398576441,0.39858208016340624,train
112,0,"Zabour, Miss. Hileni",14.5,1,0,2665,14.4542,Missing,True,False,False,False,True,False,True,False,False,False,True,False,False,-1.0989300313024875,-0.3573908580066095,train
113,0,"Barton, Mr. David John",22.0,0,0,324669,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.5348911628688886,-0.4863374216869257,train
114,0,"Jussila, Miss. Katriina",20.0,1,0,4136,9.825,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-0.685301527784515,-0.4505983519307405,train
115,0,"Attalah, Miss. Malake",17.0,0,0,2627,14.4583,Missing,True,False,False,False,True,False,True,False,False,False,True,False,False,-0.9109170751579546,-0.3573083057891445,train
116,0,"Pekoniemi, Mr. Edvard",21.0,0,0,STON/O 2. 3101294,7.925,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.6100963453267019,-0.4888542575852486,test
117,0,"Connors, Mr. Patrick",70.5,0,0,370369,7.75,Missing,False,True,False,False,True,False,False,True,False,False,False,True,False,3.1125601863350507,-0.49237782784290063,train
118,0,"Turpin, Mr. William John Robert",29.0,1,0,11668,21.0,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,-0.008454885664196365,-0.22559322262067316,train
119,0,"Baxter, Mr. Quigg Edmond",24.0,0,1,PC 17558,247.5208,B58 B60,False,True,True,False,False,False,False,True,False,False,True,False,False,-0.3844807979532623,4.335332226633905,train
120,0,"Andersson, Miss. Ellis Anna Maria",2.0,4,2,347082,31.275,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-2.038994812025152,-0.01870931177853076,train
121,0,"Hickman, Mr. Stanley George",21.0,2,0,S.O.C. 14879,73.5,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,-0.6100963453267019,0.8314778546749452,train
122,0,"Moore, Mr. Leonard Charles",25.0,0,0,A4. 54510,8.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.4863374216869257,train
123,0,"Nasser, Mr. Nicholas",32.5,1,0,237736,30.0708,Missing,False,True,False,True,False,False,False,True,False,False,True,False,False,0.2547632529381498,-0.04295550208861426,train
124,1,"Webber, Miss. Susan",32.5,0,0,27267,13.0,E101,True,False,False,True,False,False,True,False,False,False,False,False,True,0.2547632529381498,-0.3866707201133388,train
125,0,"White, Mr. Percival Wayland",54.0,0,1,35281,77.2875,D26,False,True,True,False,False,False,False,True,False,False,False,False,True,1.8716746757811333,0.907737982394129,train
126,1,"Nicola-Yarred, Master. Elias",12.0,1,0,2651,11.2417,Missing,False,True,False,False,True,True,False,False,False,False,True,False,False,-1.2869429874470204,-0.42207354059350805,train
127,0,"McMahon, Mr. Martin",25.0,0,0,370372,7.75,Missing,False,True,False,False,True,False,False,True,False,False,False,True,False,-0.3092756154954491,-0.49237782784290063,test
128,1,"Madsen, Mr. Fridtjof Arne",24.0,0,0,C 17369,7.1417,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.3844807979532623,-0.5046257580584992,train
129,1,"Peter, Miss. Anna",21.5,1,1,2668,22.3583,F E69,True,False,False,False,True,False,True,False,False,False,True,False,False,-0.5724937540977952,-0.19824427701513722,train
130,0,"Ekstrom, Mr. Johan",45.0,0,0,347061,6.975,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,1.1948280336608146,-0.5079822104125026,train
131,0,"Drazenoic, Mr. Jozef",33.0,0,0,349241,7.8958,Missing,False,True,False,False,True,False,False,True,False,False,True,False,False,0.29236584416705635,-0.4894421904510968,train
132,0,"Coelho, Mr. Domingos Fernandeo",20.0,0,0,SOTON/O.Q. 3101307,7.05,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.685301527784515,-0.5064721088735089,train
133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,1,0,A/5. 3337,14.5,Missing,True,False,False,False,True,False,False,False,True,False,False,False,True,1.345238398576441,-0.35646868933346404,train
134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,1,0,228414,26.0,Missing,True,False,False,True,False,False,False,False,True,False,False,False,True,-0.008454885664196365,-0.12491978668775715,train
135,0,"Sobey, Mr. Samuel James Hayden",25.0,0,0,C.A. 29178,13.0,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,-0.3092756154954491,-0.3866707201133388,train
136,0,"Richard, Mr. Emile",23.0,0,0,SC/PARIS 2133,15.0458,Missing,False,True,False,True,False,False,False,True,False,False,True,False,False,-0.45968598041107545,-0.3454791770670269,train
137,1,"Newsom, Miss. Helen Monypeny",19.0,0,2,11752,26.2833,D47,True,False,True,False,False,False,True,False,False,False,False,False,True,-0.7605067102423282,-0.11921562980779811,train
138,0,"Futrelle, Mr. Jacques Heath",37.0,1,0,113803,53.1,C123,False,True,True,False,False,False,False,True,False,False,False,False,True,0.5931865739983091,0.4207302360686478,test
139,0,"Osen, Mr. Olaf Elon",16.0,0,0,7534,9.2167,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.9861222576157678,-0.4628462821463391,test
140,0,"Giglio, Mr. Victor",24.0,0,0,PC 17593,79.2,B86,False,True,True,False,False,False,False,True,False,False,True,False,False,-0.3844807979532623,0.9462455716384695,train
141,0,"Boulos, Mrs. Joseph (Sultana)",21.5,0,2,2678,15.2458,Missing,True,False,False,False,True,False,False,False,True,False,True,False,False,-0.5724937540977952,-0.3414522396297103,train
142,1,"Nysten, Miss. Anna Sofia",22.0,0,0,347081,7.75,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-0.5348911628688886,-0.49237782784290063,train
143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,1,0,STON/O2. 3101279,15.85,Missing,True,False,False,False,True,False,False,False,True,False,False,False,True,-0.3844807979532623,-0.32928686163157667,test
144,0,"Burke, Mr. Jeremiah",19.0,0,0,365222,6.75,Missing,False,True,False,False,True,False,False,True,False,False,False,True,False,-0.7605067102423282,-0.5125125150294839,test
145,0,"Andrew, Mr. Edgardo Samuel",18.0,0,0,231945,11.5,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,-0.8357118927001413,-0.41687275089321363,train
146,0,"Nicholls, Mr. Joseph Charles",19.0,1,1,C.A. 33112,36.75,Missing,False,True,False,True,False,False,False,True,False,False,False,False,True,-0.7605067102423282,0.09152810056801232,train
147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,0,0,350043,7.7958,Missing,False,True,False,False,True,False,False,True,False,False,False,False,True,-0.15886525057982273,-0.49145565916975514,test
148,0,"Ford, Miss. Robina Maggie ""Ruby""",9.0,2,2,W./C. 6608,34.375,Missing,True,False,False,False,True,False,True,False,False,False,False,False,True,-1.51255853482046,0.04370821849987721,train
149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,230080,26.0,F2,False,True,False,True,False,False,False,True,False,False,False,False,True,0.5555839827694025,-0.12491978668775715,train
150,0,"Byles, Rev. Thomas Roussel Davids",42.0,0,0,244310,13.0,Missing,False,True,False,True,False,False,False,False,False,True,False,False,True,0.969212486287375,-0.3866707201133388,train
